observation_date,RGDPNARUA666NRUG
1990-01-01,3265563.250
1991-01-01,3102289.500
1992-01-01,2652452.000
1993-01-01,2421689.000
1994-01-01,2114134.250
1995-01-01,2027454.875
1996-01-01,1954309.000
1997-01-01,1981300.750
1998-01-01,1875403.000
1999-01-01,1994511.750
2000-01-01,2194873.500
2001-01-01,2306617.250
2002-01-01,2416038.000
2003-01-01,2592309.000
2004-01-01,2778331.500
2005-01-01,2955483.250
2006-01-01,3196456.250
2007-01-01,3469276.750
2008-01-01,3651342.750
2009-01-01,3365775.250
2010-01-01,3517360.500
2011-01-01,3667347.000
2012-01-01,3801421.750
2013-01-01,3869290.500
2014-01-01,3896372.000
2015-01-01,3820211.000
2016-01-01,3831142.750
2017-01-01,3899889.250
2018-01-01,3998750.750
2019-01-01,4052184.500
