year,country,degree,betweenness,eigenvector,pagerank
2017,RUS,1.6530612244897958,0.013180272108843536,0.07002634239792176,0.0133022123034592
2017,CHN,1.9999999999999998,0.0,0.35925501075615046,0.08573574541719729
2017,USA,1.9387755102040816,0.0012755102040816326,0.5869167345514403,0.1220272610670065
2017,DEU,1.9591836734693877,0.0,0.26816075610874357,0.06855985025359175
2017,IND,1.7755102040816324,0.04124149659863945,0.07576651022054136,0.026400597636689463
2017,TUR,1.5918367346938773,0.033588435374149656,0.027736894292271327,0.014942241556718019
2019,RUS,1.6122448979591835,0.007653061224489796,0.07817327341705961,0.013313886149205846
2019,CHN,1.9999999999999998,0.0,0.33869827783001744,0.08924000710204773
2019,USA,1.9795918367346936,0.0,0.5879845698350922,0.12499875932694315
2019,DEU,1.9795918367346936,0.0,0.27115572751590944,0.06894279807556196
2019,IND,1.7551020408163265,0.03316326530612245,0.0795580029600696,0.027424387154270147
2019,TUR,1.693877551020408,0.050170068027210885,0.025729268788817938,0.012432244017682134
2021,RUS,1.7346938775510203,0.017857142857142856,0.08916913331914976,0.013310875972735892
2021,CHN,1.9999999999999998,0.0,0.39541427279180197,0.09583072573052677
2021,USA,1.9795918367346936,0.0,0.5651657727443048,0.12435835679966986
2021,DEU,1.9999999999999998,0.0008503401360544217,0.2565834503463799,0.06878735528084795
2021,IND,1.8367346938775508,0.011479591836734693,0.08979700023345075,0.026712940522456093
2021,TUR,1.7346938775510203,0.022534013605442178,0.0288873079094095,0.013258339756481734
2022,RUS,1.4489795918367345,0.02423469387755102,0.07558374360683345,0.009568788633922607
2022,CHN,1.9999999999999998,0.0,0.3350769974436715,0.08534629076331603
2022,USA,1.9795918367346936,0.0,0.6008366175192826,0.12577835531414375
2022,DEU,1.9795918367346936,0.00042517006802721087,0.2357721557623699,0.0691953733114694
2022,IND,1.8775510204081631,0.008928571428571428,0.09209743385273823,0.02725929900808937
2022,TUR,1.7755102040816324,0.031462585034013606,0.029662104523350087,0.014242561009534143
2023,RUS,1.3061224489795917,0.01020408163265306,0.0610490856832845,0.010717380602961247
2023,CHN,1.9795918367346936,0.0,0.31583799411098695,0.08956099235472967
2023,USA,1.9795918367346936,0.0,0.6153156025505384,0.12592900311028032
2023,DEU,1.9999999999999998,0.0,0.24199762476224485,0.06900980730384826
2023,IND,1.8367346938775508,0.015306122448979591,0.08769125285556809,0.025385117498595868
2023,TUR,1.7551020408163265,0.022108843537414966,0.028264417255061854,0.015418697371553354
