Year,HHI_RUS_Exports_to_CHN,ECR_Top1,ECR_Top3,ECR_Top5,WITS_RUS_Exports_to_CHN,WITS_RUS_Imports_from_CHN,Trade_Balance_RUS_CHN,Trade_Balance_Ratio
2007,0.23960706921757685,39.23384927130682,78.80835369007204,86.92596157267636,67.485036617,42.437070608999996,25.04796600800001,1.5902378662934353
2008,0.2886305994299795,46.93452012611814,80.71382633992754,88.38151345216652,94.31165752,60.784588744000004,33.52706877599999,1.5515718616967598
2009,0.2569041231131232,42.61650477421171,78.36669988222636,84.03449571359906,70.551211211,43.084831906999995,27.466379304,1.637495333932997
2010,0.2668854047518399,45.12173602298331,77.17710132457893,83.31034872720191,91.055763063,69.283256659,21.772506403999998,1.31425350732516
2011,0.3482240899953492,54.45469565201467,81.58994811420641,88.42280497467281,167.01546269800002,87.01732859,79.99813410800002,1.9193356703114575
2012,0.3861041928148018,58.020888450019314,84.1779401367718,90.5303013067286,171.638989618,92.312403743,79.326585875,1.8593274864323452
2013,0.4052571612424153,59.60338401953533,86.41010212298782,91.45087007983139,168.96909076,95.256579808,73.712510952,1.7738311736635473
2014,0.4372242610465841,62.305038105301826,89.39212696121945,92.75019636298923,178.182777159,92.766536221,85.41624093800002,1.9207656598766478
2015,0.3821443572337976,57.333069592617704,86.17293900941367,90.26913655070085,131.877885882,65.02257204899999,66.855313833,2.0281862394280386
2016,0.36317499110863216,55.34639842017112,85.51256724407638,90.5320790724706,137.039752553,77.95923776299999,59.08051479000001,1.7578385382577464
2017,0.395087657230347,58.1780604927434,88.015127342652,91.41578056545538,187.10926863499998,94.372875846,92.73639278899998,1.9826593918821498
2018,0.44572685167323506,62.91004666918521,90.14053637345239,93.19434044508189,262.129292261,94.064993492,168.064298769,2.78668272361379
2019,0.42581526054841146,61.13703422573388,88.5477793881118,92.2922579274929,262.139105239,97.355116271,164.78398896800002,2.692607387056099
2020,0.34895911363170334,53.92504226976161,82.91753752499335,88.0266583034267,216.079449611,97.061585398,119.017864213,2.226209769034459
2021,0.40422285745588366,59.17419083846097,86.55736372844072,91.36545834025289,308.876612297,126.246661832,182.629950465,2.4466121148457045
